sku,nombre,marca,costo,categoria,URL de la Imagen
GA6XT,Adhesivo Cerámico Pasta AC Muro 25 kg,Cadina,49.8407,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208709-300-300?v=638301242573770000&width=300&height=300&aspect=true
JQC0W,Espaciador Con Tomador Plano 3 mm 200 un,F3C,35.1845,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/197395-300-300?v=638195219060100000&width=300&height=300&aspect=true
MAIKY,Fragüe Fluido 1 kg Blanco,Cadina,12.9116,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208778-300-300?v=638301245206100000&width=300&height=300&aspect=true
AKAPN,Fragüe Fluido Sikaceram-610 1 kg Café Claro,Sika,32.2478,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208823-300-300?v=638301246449800000&width=300&height=300&aspect=true
VK5AL,Fragüe Fluido 5 kg Blanco,Cadina,41.8535,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208793-300-300?v=638301245835470000&width=300&height=300&aspect=true
ZPJ05,Espaciador Con Tomador Plano 2 mm 200 un,F3C,25.3825,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/197394-300-300?v=638195219030530000&width=300&height=300&aspect=true
1DOJX,Fragüe Fluido Sikaceram-610 1 kg Gris,Sika,35.1572,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208853-300-300?v=638301246778070000&width=300&height=300&aspect=true
DGKUF,Fragüe Fluido Sikaceram-610 5 kg Blanco,Sika,55.0758,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208818-300-300?v=638301246394330000&width=300&height=300&aspect=true
MIMX3,Fragüe Fluido Sikaceram-610 5 kg Gris,Sika,48.0298,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208858-300-300?v=638301246833300000&width=300&height=300&aspect=true
376ZF,Fragüe Fluido 5 kg Café Claro,Cadina,7.8351,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208794-300-300?v=638301245872870000&width=300&height=300&aspect=true
F7KFB,Fragüe Fluido Sikaceram-610 5 kg Café Oscuro,Sika,55.5217,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208838-300-300?v=638301246613170000&width=300&height=300&aspect=true
5M1TO,Fragüe Fluido Sikaceram-610 1 kg Blanco,Sika,28.912,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208813-300-300?v=638301246336070000&width=300&height=300&aspect=true
RJ9IW,Fachaleta 32 x 56 cm 2 m2 Aspen Noce,Cristofoletti,22.3938,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/213012-300-300?v=638512143412170000&width=300&height=300&aspect=true
LKONN,Adhesivo Cerámico Pasta AC Muro 15 kg,Cadina,59.098,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208708-300-300?v=638301242535870000&width=300&height=300&aspect=true
XQU6Y,Fragüe Fluido Sikaceram-610 5 kg Café Claro,Sika,14.3715,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208828-300-300?v=638301246502670000&width=300&height=300&aspect=true
XW3JQ,Adhesivo Cerámico Pasta Sikaceram 300 Extra Muro 25 kg,Sika,21.385,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208963-300-300?v=638301249953630000&width=300&height=300&aspect=true
12DLB,Cortadora de Porcelanato TOR600 60 cm,Torrews,55.7713,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/197432-300-300?v=638195235102030000&width=300&height=300&aspect=true
P9FUW,Adhesivo Cerámico Pasta AC Muro 6 kg,Cadina,49.1504,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208710-300-300?v=638301242609800000&width=300&height=300&aspect=true
JX3K6,Adhesivo Cerámico Pasta AC Muro 1 kg,Cadina,52.2015,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208707-300-300?v=638301242494030000&width=300&height=300&aspect=true
LOAA8,Espaciador Con Tomador Plano 5 mm 200 un,F3C,62.7146,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/197397-300-300?v=638195219121600000&width=300&height=300&aspect=true
SVJMC,Alfombra Rombo 120 x 180 cm,Thermofoam,45.4038,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/210596-300-300?v=638410929120970000&width=300&height=300&aspect=true
2U0Z2,Tripack Esponja + Fraguador + Espaciador 3 mm,F3C,16.040699999999998,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/197414-300-300?v=638195219568600000&width=300&height=300&aspect=true
L3HHA,Alfombra Izmir 120 x 180 cm,Thermofoam,21.2641,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/210594-300-300?v=638410929111270000&width=300&height=300&aspect=true
A5JI0,Fragüe Fluido 5 kg Negro,Cadina,28.886,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208800-300-300?v=638301246086500000&width=300&height=300&aspect=true
GOOUL,Fragüe Acrílico Sikaceram-710 300 ml Café Claro,Sika,19.8302,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/196217-300-300?v=638192458383630000&width=300&height=300&aspect=true
KG1G0,Alfombra Circle 120 x 180 cm,Thermofoam,21.4214,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/210603-300-300?v=638410929141800000&width=300&height=300&aspect=true
F0EWQ,Fragüe Fluido Grey-Garza Sikaceram-610 5 kg,Sika,30.1847,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208848-300-300?v=638301246723000000&width=300&height=300&aspect=true
M5ECX,Fragüe Fluido Capri 5 kg Gris,Cadina,49.1049,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208797-300-300?v=638301245960330000&width=300&height=300&aspect=true
WWTSJ,Fragüe Fluido Capri 1 kg Gris,Cadina,11.5141,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208781-300-300?v=638301245331370000&width=300&height=300&aspect=true
RQFNH,Aditivo Líquido Triple Acción Botella 950 ml,Cadina,61.204,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/196215-300-300?v=638192458329200000&width=300&height=300&aspect=true
OBITT,Adhesivo Cerámico Pasta Triple Acción Muro 25 kg,Cadina,43.0079,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208711-300-300?v=638301242646800000&width=300&height=300&aspect=true
RBQJQ,Guía Transición 12 x 45 mm 1 m Gris Ceniza,Maforsa,15.3634,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/207805-300-300?v=638289239956900000&width=300&height=300&aspect=true
XYFXS,Fragüe Fluido 5 kg Café Oscuro,Cadina,27.2935,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208796-300-300?v=638301245917830000&width=300&height=300&aspect=true
QK719,Alfombra Acuarela 120 x 180 cm,Thermofoam,14.9487,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/210608-300-300?v=638410929157670000&width=300&height=300&aspect=true
LD17U,Alfombra Etniko 120 x 180 cm,Thermofoam,7.7818,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/210592-300-300?v=638410360654700000&width=300&height=300&aspect=true
BG8BH,Fragüe Fluido Sikaceram-610 1 kg Negro,Sika,55.8701,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208873-300-300?v=638301247001300000&width=300&height=300&aspect=true
8TTVJ,Esponja Profesional 19 x 14 cm,Torrews,12.1615,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/197399-300-300?v=638195219154670000&width=300&height=300&aspect=true
TG5RH,Fragüe Fluido Grey-Garza 5 kg,Cadina,36.5222,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208798-300-300?v=638301245999330000&width=300&height=300&aspect=true
JTGG5,Fragüe Fluido 1 kg Café Oscuro,Cadina,49.7575,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208780-300-300?v=638301245289300000&width=300&height=300&aspect=true
LYOJL,Fragüe Acrílico Sikaceram-710 300 ml Blanco,Sika,32.7132,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/196216-300-300?v=638192458356970000&width=300&height=300&aspect=true
3K432,Llana Profesional 10 x 10 mm,Torrews,35.1845,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/202593-300-300?v=638252116024300000&width=300&height=300&aspect=true
2AUXM,Malla Mosaico 30 x 30 cm Piedra Terra Beige,Decoralia,9.633,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208918-300-300?v=638301248273400000&width=300&height=300&aspect=true
LWL3V,Fragüe Fluido Quilicura 5 kg,Cadina,46.9768,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208801-300-300?v=638301246132000000&width=300&height=300&aspect=true
VYTUV,Fragüe Fluido 1 kg Café Claro,Cadina,36.283,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208779-300-300?v=638301245247800000&width=300&height=300&aspect=true
S6POR,Fragüe Fluido Helecho 1 kg Verde,Cadina,12.9077,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208783-300-300?v=638301245413170000&width=300&height=300&aspect=true
4UATB,Fragüe Fluido Sikaceram-610 1 kg Café Oscuro,Sika,8.4903,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208833-300-300?v=638301246559100000&width=300&height=300&aspect=true
5WOV5,Fragüe Fluido Murato 1 kg Azul,Cadina,44.0505,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208785-300-300?v=638301245493000000&width=300&height=300&aspect=true
RZBOS,Fragüe Fluido Almond Sikaceram-610 5 kg,Sika,10.1907,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208808-300-300?v=638301246276070000&width=300&height=300&aspect=true
1LLUO,Fragüe Fluido Tacora 5 kg,Cadina,48.5199,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208802-300-300?v=638301246177300000&width=300&height=300&aspect=true
JJ3WL,Fragüe Fluido Almond Sikaceram-610 1 kg,Sika,50.7429,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208803-300-300?v=638301246220600000&width=300&height=300&aspect=true
38D8X,Listel Delfines 8 x 25 cm 1 m 4 un,Decoralia,32.6885,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208892-300-300?v=638301247436970000&width=300&height=300&aspect=true
PBOIX,Guía transición 12 X 45 mm 1 m Abedul,Maforsa,58.825,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/194876-300-300?v=638182124363830000&width=300&height=300&aspect=true
37ZTD,Rodillera Profesional 2 un,F3C,22.9957,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/197412-300-300?v=638195219507270000&width=300&height=300&aspect=true
62LOJ,Espaciador Con Tomador Plano 4 mm 200 un,F3C,28.2347,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/197396-300-300?v=638195219092000000&width=300&height=300&aspect=true
WVDID,Guía transición 12 x 45 mm 1 m Cerezo peral,Maforsa,56.8854,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/194878-300-300?v=638182124415330000&width=300&height=300&aspect=true
YOOVX,Mazo De Goma 8 OZ,F3C,36.2479,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/197404-300-300?v=638195219307470000&width=300&height=300&aspect=true
HNE6C,Guía compensación 12 x 46 mm 1 m Cerezo Peral,Maforsa,59.6596,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/194874-300-300?v=638182124309830000&width=300&height=300&aspect=true
GMAK7,Fragüe Acrílico Sikaceram-710 300 ml Café Oscuro,Sika,51.0822,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/196218-300-300?v=638192458408830000&width=300&height=300&aspect=true
TA1SU,Pasto Sintético 20 mm 1 x 4 m Verde,Trama,36.6457,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208938-300-300?v=638301248993100000&width=300&height=300&aspect=true
PLUUY,Malla Mosaico 30 x 30 cm Vidrio Cuadrado Blanco Plata,Decoralia,18.9904,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/212569-300-300?v=638495952883670000&width=300&height=300&aspect=true
RNUAW,Mosaico 30 x 30 cm Vidrio Cosmos,Decoralia,35.3353,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/212637-300-300?v=638495953300870000&width=300&height=300&aspect=true
XO6BK,Mosaico 30 x 30 cm Vidrio Terracota,Decoralia,20.0343,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/212638-300-300?v=638495953311000000&width=300&height=300&aspect=true
UXXCG,Malla Mosaico  30 x 30 cm Cuadros Blanco Negro,Decoralia,48.5485,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/212636-300-300?v=638495953288430000&width=300&height=300&aspect=true
XBJO3,Malla Mosaico 30 x 30 cm Vidrio Cuadrado Verde,Decoralia,49.2648,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/212566-300-300?v=638495952868900000&width=300&height=300&aspect=true
YRYPM,Malla Mosaico 30 x 30 cm Cuadrado Café,Decoralia,12.1199,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/212565-300-300?v=638495952862970000&width=300&height=300&aspect=true
B39LX,Listel Mosaico Negro Plata 5 x 30 cm 1 m 3 un,Decoralia,23.556,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/212564-300-300?v=638495952855670000&width=300&height=300&aspect=true
