sku,nombre,marca,costo,categoria,URL de la Imagen
XUD9U,Adhesivo Cerámico Polvo Ultra Piso/Muro 25 kg,Cadina,42.8844,Pisos y Revestimientos,https://construmartcl.vtexassets.com/arquivos/ids/213274-300-300?v=638530213773670000&width=300&height=300&aspect=true
I0H1A,Adhesivo Cerámico Polvo SikaCeram-50 Piso/Muro 25 kg,Sika,36.01,Pisos y Revestimientos,https://construmartcl.vtexassets.com/arquivos/ids/208965-300-300?v=638301250021000000&width=300&height=300&aspect=true
JWAV0,Espuma Niveladora Para Piso Flotante Polietileno 2 mm 10 m2,Thermofoam,25.0042,Pisos y Revestimientos,https://construmartcl.vtexassets.com/arquivos/ids/187321-300-300?v=637915261889030000&width=300&height=300&aspect=true
GA6XT,Adhesivo Cerámico Pasta AC Muro 25 kg,Cadina,49.8407,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208709-300-300?v=638301242573770000&width=300&height=300&aspect=true
033TW,Adhesivo Cerámico Polvo SikaCeram-110 Extra Piso/Muro 25 kg,Sika,64.5242,Pisos y Revestimientos,https://construmartcl.vtexassets.com/arquivos/ids/208962-300-300?v=638301249922330000&width=300&height=300&aspect=true
25XEN,Adhesivo Cerámico Polvo Sikaceram-100 Piso/Muro 25 kg,Sika,52.741,Pisos y Revestimientos,https://construmartcl.vtexassets.com/arquivos/ids/207978-300-300?v=638289244976800000&width=300&height=300&aspect=true
JQC0W,Espaciador Con Tomador Plano 3 mm 200 un,F3C,35.1845,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/197395-300-300?v=638195219060100000&width=300&height=300&aspect=true
MAIKY,Fragüe Fluido 1 kg Blanco,Cadina,12.9116,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208778-300-300?v=638301245206100000&width=300&height=300&aspect=true
7RGSQ,Adhesivo Cerámico Polvo Pro Max 310 Piso/Muro 25 kg,Cadina,29.471,Pisos y Revestimientos,https://construmartcl.vtexassets.com/arquivos/ids/208715-300-300?v=638301242796700000&width=300&height=300&aspect=true
8RZ85,Espuma Niveladora Para Piso Flotante Acústica 3 mm 10 m2,Trama,35.808499999999995,Pisos y Revestimientos,https://construmartcl.vtexassets.com/arquivos/ids/187323-300-300?v=637915261959130000&width=300&height=300&aspect=true
AKAPN,Fragüe Fluido Sikaceram-610 1 kg Café Claro,Sika,32.2478,Materiales de Construcción,https://construmartcl.vtexassets.com/arquivos/ids/208823-300-300?v=638301246449800000&width=300&height=300&aspect=true
